Date,UKGRABIQ Index,UKIPIMOM Index,MPMIGBMA Index,UKMPIMOM Index,UKRVAMOM Index,UKRVINFM Index,MPMIGBSA Index,MPMIGBCA Index,UKTBTTBA Index,UKTBALEE Index,UKBINPEQ Index,UKGEABRQ Index,UKGEIKKQ Index,UKGEIKLQ Index
2007-03-11,0.8,0.1,51.3,-0.2,-1.8,2.1,54,57.6,-4894,-7142,3.3,1,-1,-0.2
2007-03-12,0.8,0.1,51.3,-0.2,-1.8,2.1,54,57.6,-4894,-7142,3.3,1,-1,-0.2
2007-03-13,0.8,0.1,51.3,-0.2,-1.8,2.1,54,57.6,-3783,-6226,3.3,1,-1,-0.2
2007-03-14,0.8,0.1,51.3,-0.2,-1.8,2.1,54,57.6,-3783,-6226,3.3,1,-1,-0.2
2007-03-15,0.8,0.1,51.3,-0.2,-1.8,2.1,54,57.6,-3783,-6226,3.3,1,-1,-0.2
2007-03-16,0.8,0.1,51.3,-0.2,-1.8,2.1,54,57.6,-3783,-6226,3.3,1,-1,-0.2
2007-03-17,0.8,0.1,51.3,-0.2,-1.8,2.1,54,57.6,-3783,-6226,3.3,1,-1,-0.2
2007-03-18,0.8,0.1,51.3,-0.2,-1.8,2.1,54,57.6,-3783,-6226,3.3,1,-1,-0.2
2007-03-19,0.8,0.1,51.3,-0.2,-1.8,2.1,54,57.6,-3783,-6226,3.3,1,-1,-0.2
2007-03-20,0.8,0.1,51.3,-0.2,-1.8,2.1,54,57.6,-3783,-6226,3.3,1,-1,-0.2
2007-03-21,0.8,0.1,51.3,-0.2,-1.8,2.1,54,57.6,-3783,-6226,3.3,1,-1,-0.2
2007-03-22,0.8,0.1,51.3,-0.2,1.4,2.1,54,57.6,-3783,-6226,3.3,1,-1,-0.2
2007-03-23,0.8,0.1,51.3,-0.2,1.4,2.1,54,57.6,-3783,-6226,3.3,1,-1,-0.2
2007-03-24,0.8,0.1,51.3,-0.2,1.4,2.1,54,57.6,-3783,-6226,3.3,1,-1,-0.2
2007-03-25,0.8,0.1,51.3,-0.2,1.4,2.1,54,57.6,-3783,-6226,3.3,1,-1,-0.2
2007-03-26,0.8,0.1,51.3,-0.2,1.4,2.1,54,57.6,-3783,-6226,3.3,1,-1,-0.2
2007-03-27,0.8,0.1,51.3,-0.2,1.4,2.1,54,57.6,-3783,-6226,4.5,1,-1,-0.2
2007-03-28,0.7,0.1,51.3,-0.2,1.4,2.1,54,57.6,-3783,-6226,4.5,1,-1,-0.2
2007-03-29,0.7,0.1,51.3,-0.2,1.4,2.1,54,57.6,-3783,-6226,4.5,1,-1,-0.2
2007-03-30,0.7,0.1,51.3,-0.2,1.4,2.1,54,57.6,-3783,-6226,4.5,1,-1,-0.2
2007-03-31,0.7,0.1,51.3,-0.2,1.4,2.1,54,57.6,-3783,-6226,4.5,1,-1,-0.2
2007-04-01,0.7,0.1,51.3,-0.2,1.4,2.1,54,57.6,-3783,-6226,4.5,1,-1,-0.2
2007-04-02,0.7,0.1,51.3,-0.2,1.4,2.1,54,57.6,-3783,-6226,4.5,1,-1,-0.2
2007-04-03,0.7,0.1,51.3,-0.2,1.4,2.1,54,57.6,-3783,-6226,4.5,1,-1,-0.2
2007-04-04,0.7,0.1,51.3,-0.2,1.4,2.1,54,57.6,-3783,-6226,4.5,1,-1,-0.2
2007-04-05,0.7,-0.2,51.3,-0.6,1.4,2.1,54,57.6,-3783,-6226,4.5,1,-1,-0.2
2007-04-06,0.7,-0.2,51.3,-0.6,1.4,2.1,54,57.6,-3783,-6226,4.5,1,-1,-0.2
2007-04-07,0.7,-0.2,51.3,-0.6,1.4,2.1,54,57.6,-3783,-6226,4.5,1,-1,-0.2
2007-04-08,0.7,-0.2,51.3,-0.6,1.4,2.1,54,57.6,-3783,-6226,4.5,1,-1,-0.2
2007-04-09,0.7,-0.2,51.3,-0.6,1.4,2.1,54,57.6,-3783,-6226,4.5,1,-1,-0.2
2007-04-10,0.7,-0.2,51.3,-0.6,1.4,2.1,54,57.6,-3783,-6226,4.5,1,-1,-0.2
2007-04-11,0.7,-0.2,51.3,-0.6,1.4,2.1,54,57.6,-3783,-6226,4.5,1,-1,-0.2
2007-04-12,0.7,-0.2,51.3,-0.6,1.4,2.1,54,57.6,-4312,-6791,4.5,1,-1,-0.2
2007-04-13,0.7,-0.2,51.3,-0.6,1.4,2.1,54,57.6,-4312,-6791,4.5,1,-1,-0.2
2007-04-14,0.7,-0.2,51.3,-0.6,1.4,2.1,54,57.6,-4312,-6791,4.5,1,-1,-0.2
2007-04-15,0.7,-0.2,51.3,-0.6,1.4,2.1,54,57.6,-4312,-6791,4.5,1,-1,-0.2
2007-04-16,0.7,-0.2,51.3,-0.6,1.4,2.1,54,57.6,-4312,-6791,4.5,1,-1,-0.2
2007-04-17,0.7,-0.2,51.3,-0.6,1.4,2.1,54,57.6,-4312,-6791,4.5,1,-1,-0.2
2007-04-18,0.7,-0.2,51.3,-0.6,1.4,2.1,54,57.6,-4312,-6791,4.5,1,-1,-0.2
2007-04-19,0.7,-0.2,51.3,-0.6,1.4,2.1,54,57.6,-4312,-6791,4.5,1,-1,-0.2
2007-04-20,0.7,-0.2,51.3,-0.6,0.3,2.1,54,57.6,-4312,-6791,4.5,1,-1,-0.2
2007-04-21,0.7,-0.2,51.3,-0.6,0.3,2.1,54,57.6,-4312,-6791,4.5,1,-1,-0.2
2007-04-22,0.7,-0.2,51.3,-0.6,0.3,2.1,54,57.6,-4312,-6791,4.5,1,-1,-0.2
2007-04-23,0.7,-0.2,51.3,-0.6,0.3,2.1,54,57.6,-4312,-6791,4.5,1,-1,-0.2
2007-04-24,0.7,-0.2,51.3,-0.6,0.3,2.1,54,57.6,-4312,-6791,4.5,1,-1,-0.2
2007-04-25,0.7,-0.2,51.3,-0.6,0.3,2.1,54,57.6,-4312,-6791,4.5,1,-1,-0.2
2007-04-26,0.7,-0.2,51.3,-0.6,0.3,2.1,54,57.6,-4312,-6791,4.5,1,-1,-0.2
2007-04-27,0.7,-0.2,51.3,-0.6,0.3,2.1,54,57.6,-4312,-6791,4.5,1,-1,-0.2
2007-04-28,0.7,-0.2,51.3,-0.6,0.3,2.1,54,57.6,-4312,-6791,4.5,1,-1,-0.2
2007-04-29,0.7,-0.2,51.3,-0.6,0.3,2.1,54,57.6,-4312,-6791,4.5,1,-1,-0.2
2007-04-30,0.7,-0.2,51.3,-0.6,0.3,2.1,54,57.6,-4312,-6791,4.5,1,-1,-0.2
2007-05-01,0.7,-0.2,51.3,-0.6,0.3,2.1,54,57.6,-4312,-6791,4.5,1,-1,-0.2
2007-05-02,0.7,-0.2,51.3,-0.6,0.3,2.1,54,57.6,-4312,-6791,4.5,1,-1,-0.2
2007-05-03,0.7,-0.2,51.3,-0.6,0.3,2.1,54,57.6,-4312,-6791,4.5,1,-1,-0.2
2007-05-04,0.7,-0.2,51.3,-0.6,0.3,2.1,54,57.6,-4312,-6791,4.5,1,-1,-0.2
2007-05-05,0.7,-0.2,51.3,-0.6,0.3,2.1,54,57.6,-4312,-6791,4.5,1,-1,-0.2
2007-05-06,0.7,-0.2,51.3,-0.6,0.3,2.1,54,57.6,-4312,-6791,4.5,1,-1,-0.2
2007-05-07,0.7,-0.2,51.3,-0.6,0.3,2.1,54,57.6,-4312,-6791,4.5,1,-1,-0.2
2007-05-08,0.7,-0.2,51.3,-0.6,0.3,2.1,54,57.6,-4312,-6791,4.5,1,-1,-0.2
2007-05-09,0.7,-0.2,51.3,-0.6,0.3,2.1,54,57.6,-4312,-6791,4.5,1,-1,-0.2
2007-05-10,0.7,0.3,51.3,0.6,0.3,2.1,54,57.6,-4529,-7048,4.5,1,-1,-0.2
2007-05-11,0.7,0.3,51.3,0.6,0.3,2.1,54,57.6,-4529,-7048,4.5,1,-1,-0.2
2007-05-12,0.7,0.3,51.3,0.6,0.3,2.1,54,57.6,-4529,-7048,4.5,1,-1,-0.2
2007-05-13,0.7,0.3,51.3,0.6,0.3,2.1,54,57.6,-4529,-7048,4.5,1,-1,-0.2
2007-05-14,0.7,0.3,51.3,0.6,0.3,2.1,54,57.6,-4529,-7048,4.5,1,-1,-0.2
2007-05-15,0.7,0.3,51.3,0.6,0.3,2.1,54,57.6,-4529,-7048,4.5,1,-1,-0.2
2007-05-16,0.7,0.3,51.3,0.6,0.3,2.1,54,57.6,-4529,-7048,4.5,1,-1,-0.2
2007-05-17,0.7,0.3,51.3,0.6,0.3,2.1,54,57.6,-4529,-7048,4.5,1,-1,-0.2
2007-05-18,0.7,0.3,51.3,0.6,-0.1,2.1,54,57.6,-4529,-7048,4.5,1,-1,-0.2
2007-05-19,0.7,0.3,51.3,0.6,-0.1,2.1,54,57.6,-4529,-7048,4.5,1,-1,-0.2
2007-05-20,0.7,0.3,51.3,0.6,-0.1,2.1,54,57.6,-4529,-7048,4.5,1,-1,-0.2
2007-05-21,0.7,0.3,51.3,0.6,-0.1,2.1,54,57.6,-4529,-7048,4.5,1,-1,-0.2
2007-05-22,0.7,0.3,51.3,0.6,-0.1,2.1,54,57.6,-4529,-7048,4.5,1,-1,-0.2
2007-05-23,0.7,0.3,51.3,0.6,-0.1,2.1,54,57.6,-4529,-7048,4.5,1,-1,-0.2
2007-05-24,0.7,0.3,51.3,0.6,-0.1,2.1,54,57.6,-4529,-7048,-1.3,1,-1,-0.2
2007-05-25,0.7,0.3,51.3,0.6,-0.1,2.1,54,57.6,-4529,-7048,-1.3,0.6,-0.6,-0.6
2007-05-26,0.7,0.3,51.3,0.6,-0.1,2.1,54,57.6,-4529,-7048,-1.3,0.6,-0.6,-0.6
2007-05-27,0.7,0.3,51.3,0.6,-0.1,2.1,54,57.6,-4529,-7048,-1.3,0.6,-0.6,-0.6
2007-05-28,0.7,0.3,51.3,0.6,-0.1,2.1,54,57.6,-4529,-7048,-1.3,0.6,-0.6,-0.6
2007-05-29,0.7,0.3,51.3,0.6,-0.1,2.1,54,57.6,-4529,-7048,-1.3,0.6,-0.6,-0.6
2007-05-30,0.7,0.3,51.3,0.6,-0.1,2.1,54,57.6,-4529,-7048,-1.3,0.6,-0.6,-0.6
2007-05-31,0.7,0.3,51.3,0.6,-0.1,2.1,54,57.6,-4529,-7048,-1.3,0.6,-0.6,-0.6
2007-06-01,0.7,0.3,51.3,0.6,-0.1,2.1,54,57.6,-4529,-7048,-1.3,0.6,-0.6,-0.6
2007-06-02,0.7,0.3,51.3,0.6,-0.1,2.1,54,57.6,-4529,-7048,-1.3,0.6,-0.6,-0.6
2007-06-03,0.7,0.3,51.3,0.6,-0.1,2.1,54,57.6,-4529,-7048,-1.3,0.6,-0.6,-0.6
2007-06-04,0.7,0.3,51.3,0.6,-0.1,2.1,54,57.6,-4529,-7048,-1.3,0.6,-0.6,-0.6
2007-06-05,0.7,0.3,51.3,0.6,-0.1,2.1,54,57.6,-4529,-7048,-1.3,0.6,-0.6,-0.6
2007-06-06,0.7,0.3,51.3,0.6,-0.1,2.1,54,57.6,-4529,-7048,-1.3,0.6,-0.6,-0.6
2007-06-07,0.7,0.3,51.3,0.6,-0.1,2.1,54,57.6,-4529,-7048,-1.3,0.6,-0.6,-0.6
2007-06-08,0.7,0.3,51.3,0.3,-0.1,2.1,54,57.6,-4529,-7048,-1.3,0.6,-0.6,-0.6
2007-06-09,0.7,0.3,51.3,0.3,-0.1,2.1,54,57.6,-4529,-7048,-1.3,0.6,-0.6,-0.6
2007-06-10,0.7,0.3,51.3,0.3,-0.1,2.1,54,57.6,-4529,-7048,-1.3,0.6,-0.6,-0.6
2007-06-11,0.7,0.3,51.3,0.3,-0.1,2.1,54,57.6,-4529,-7048,-1.3,0.6,-0.6,-0.6
2007-06-12,0.7,0.3,51.3,0.3,-0.1,2.1,54,57.6,-3604,-6316,-1.3,0.6,-0.6,-0.6
2007-06-13,0.7,0.3,51.3,0.3,-0.1,2.1,54,57.6,-3604,-6316,-1.3,0.6,-0.6,-0.6
2007-06-14,0.7,0.3,51.3,0.3,0.4,2.1,54,57.6,-3604,-6316,-1.3,0.6,-0.6,-0.6
2007-06-15,0.7,0.3,51.3,0.3,0.4,2.1,54,57.6,-3604,-6316,-1.3,0.6,-0.6,-0.6
2007-06-16,0.7,0.3,51.3,0.3,0.4,2.1,54,57.6,-3604,-6316,-1.3,0.6,-0.6,-0.6
2007-06-17,0.7,0.3,51.3,0.3,0.4,2.1,54,57.6,-3604,-6316,-1.3,0.6,-0.6,-0.6
2007-06-18,0.7,0.3,51.3,0.3,0.4,2.1,54,57.6,-3604,-6316,-1.3,0.6,-0.6,-0.6
2007-06-19,0.7,0.3,51.3,0.3,0.4,2.1,54,57.6,-3604,-6316,-1.3,0.6,-0.6,-0.6
2007-06-20,0.7,0.3,51.3,0.3,0.4,2.1,54,57.6,-3604,-6316,-1.3,0.6,-0.6,-0.6
2007-06-21,0.7,0.3,51.3,0.3,0.4,2.1,54,57.6,-3604,-6316,-1.3,0.6,-0.6,-0.6
2007-06-22,0.7,0.3,51.3,0.3,0.4,2.1,54,57.6,-3604,-6316,-1.3,0.6,-0.6,-0.6
2007-06-23,0.7,0.3,51.3,0.3,0.4,2.1,54,57.6,-3604,-6316,-1.3,0.6,-0.6,-0.6
2007-06-24,0.7,0.3,51.3,0.3,0.4,2.1,54,57.6,-3604,-6316,-1.3,0.6,-0.6,-0.6
2007-06-25,0.7,0.3,51.3,0.3,0.4,2.1,54,57.6,-3604,-6316,-1.3,0.6,-0.6,-0.6
2007-06-26,0.7,0.3,51.3,0.3,0.4,2.1,54,57.6,-3604,-6316,-1.3,0.6,-0.6,-0.6
2007-06-27,0.7,0.3,51.3,0.3,0.4,2.1,54,57.6,-3604,-6316,-1.3,0.6,-0.6,-0.6
2007-06-28,0.7,0.3,51.3,0.3,0.4,2.1,54,57.6,-3604,-6316,-1.3,0.6,-0.6,-0.6
2007-06-29,0.7,0.3,51.3,0.3,0.4,2.1,54,57.6,-3604,-6316,-0.6,0.6,-0.6,-0.6
2007-06-30,0.7,0.3,51.3,0.3,0.4,2.1,54,57.6,-3604,-6316,-0.6,0.6,-0.6,-0.6
2007-07-01,0.7,0.3,51.3,0.3,0.4,2.1,54,57.6,-3604,-6316,-0.6,0.6,-0.6,-0.6
2007-07-02,0.7,0.3,51.3,0.3,0.4,2.1,54,57.6,-3604,-6316,-0.6,0.6,-0.6,-0.6
2007-07-03,0.7,0.3,51.3,0.3,0.4,2.1,54,57.6,-3604,-6316,-0.6,0.6,-0.6,-0.6
2007-07-04,0.7,0.3,51.3,0.3,0.4,2.1,54,57.6,-3604,-6316,-0.6,0.6,-0.6,-0.6
2007-07-05,0.7,0.3,51.3,0.3,0.4,2.1,54,57.6,-3604,-6316,-0.6,0.6,-0.6,-0.6
2007-07-06,0.7,0.6,51.3,0.4,0.4,2.1,54,57.6,-3604,-6316,-0.6,0.6,-0.6,-0.6
2007-07-07,0.7,0.6,51.3,0.4,0.4,2.1,54,57.6,-3604,-6316,-0.6,0.6,-0.6,-0.6
2007-07-08,0.7,0.6,51.3,0.4,0.4,2.1,54,57.6,-3604,-6316,-0.6,0.6,-0.6,-0.6
2007-07-09,0.7,0.6,51.3,0.4,0.4,2.1,54,57.6,-3604,-6316,-0.6,0.6,-0.6,-0.6
2007-07-10,0.7,0.6,51.3,0.4,0.4,2.1,54,57.6,-3511,-6291,-0.6,0.6,-0.6,-0.6
2007-07-11,0.7,0.6,51.3,0.4,0.4,2.1,54,57.6,-3511,-6291,-0.6,0.6,-0.6,-0.6
2007-07-12,0.7,0.6,51.3,0.4,0.4,2.1,54,57.6,-3511,-6291,-0.6,0.6,-0.6,-0.6
2007-07-13,0.7,0.6,51.3,0.4,0.4,2.1,54,57.6,-3511,-6291,-0.6,0.6,-0.6,-0.6
2007-07-14,0.7,0.6,51.3,0.4,0.4,2.1,54,57.6,-3511,-6291,-0.6,0.6,-0.6,-0.6
2007-07-15,0.7,0.6,51.3,0.4,0.4,2.1,54,57.6,-3511,-6291,-0.6,0.6,-0.6,-0.6
2007-07-16,0.7,0.6,51.3,0.4,0.4,2.1,54,57.6,-3511,-6291,-0.6,0.6,-0.6,-0.6
2007-07-17,0.7,0.6,51.3,0.4,0.4,2.1,54,57.6,-3511,-6291,-0.6,0.6,-0.6,-0.6
2007-07-18,0.7,0.6,51.3,0.4,0.4,2.1,54,57.6,-3511,-6291,-0.6,0.6,-0.6,-0.6
2007-07-19,0.7,0.6,51.3,0.4,0.2,2.1,54,57.6,-3511,-6291,-0.6,0.6,-0.6,-0.6
2007-07-20,0.8,0.6,51.3,0.4,0.2,2.1,54,57.6,-3511,-6291,-0.6,0.6,-0.6,-0.6
2007-07-21,0.8,0.6,51.3,0.4,0.2,2.1,54,57.6,-3511,-6291,-0.6,0.6,-0.6,-0.6
2007-07-22,0.8,0.6,51.3,0.4,0.2,2.1,54,57.6,-3511,-6291,-0.6,0.6,-0.6,-0.6
2007-07-23,0.8,0.6,51.3,0.4,0.2,2.1,54,57.6,-3511,-6291,-0.6,0.6,-0.6,-0.6
2007-07-24,0.8,0.6,51.3,0.4,0.2,2.1,54,57.6,-3511,-6291,-0.6,0.6,-0.6,-0.6
2007-07-25,0.8,0.6,51.3,0.4,0.2,2.1,54,57.6,-3511,-6291,-0.6,0.6,-0.6,-0.6
2007-07-26,0.8,0.6,51.3,0.4,0.2,2.1,54,57.6,-3511,-6291,-0.6,0.6,-0.6,-0.6
2007-07-27,0.8,0.6,51.3,0.4,0.2,2.1,54,57.6,-3511,-6291,-0.6,0.6,-0.6,-0.6
2007-07-28,0.8,0.6,51.3,0.4,0.2,2.1,54,57.6,-3511,-6291,-0.6,0.6,-0.6,-0.6
2007-07-29,0.8,0.6,51.3,0.4,0.2,2.1,54,57.6,-3511,-6291,-0.6,0.6,-0.6,-0.6
2007-07-30,0.8,0.6,51.3,0.4,0.2,2.1,54,57.6,-3511,-6291,-0.6,0.6,-0.6,-0.6
2007-07-31,0.8,0.6,51.3,0.4,0.2,2.1,54,57.6,-3511,-6291,-0.6,0.6,-0.6,-0.6
2007-08-01,0.8,0.6,51.3,0.4,0.2,2.1,54,57.6,-3511,-6291,-0.6,0.6,-0.6,-0.6
2007-08-02,0.8,0.6,51.3,0.4,0.2,2.1,54,57.6,-3511,-6291,-0.6,0.6,-0.6,-0.6
2007-08-03,0.8,0.6,51.3,0.4,0.2,2.1,54,57.6,-3511,-6291,-0.6,0.6,-0.6,-0.6
2007-08-04,0.8,0.6,51.3,0.4,0.2,2.1,54,57.6,-3511,-6291,-0.6,0.6,-0.6,-0.6
2007-08-05,0.8,0.6,51.3,0.4,0.2,2.1,54,57.6,-3511,-6291,-0.6,0.6,-0.6,-0.6
2007-08-06,0.8,0.1,51.3,0.2,0.2,2.1,54,57.6,-3511,-6291,-0.6,0.6,-0.6,-0.6
2007-08-07,0.8,0.1,51.3,0.2,0.2,2.1,54,57.6,-3511,-6291,-0.6,0.6,-0.6,-0.6
